Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
7405789,Toodz House,94,Jakarta,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta",Fatmawati,"Fatmawati, Jakarta",106.801782,-6.278012,"Cafe, Italian, Coffee and Tea, Western, Indonesian",165000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,1476
7422751,Union Deli,94,Jakarta,"Grand Indonesia Mall, Lantai Ground, East Mall, Jl. MH Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.8197488,-6.197150016,"Desserts, Bakery, Western",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,903
7402935,Skye,94,Jakarta,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.821999,-6.196778,"Italian, Pizza, Pasta",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.1,Green,Very Good,1498
7410290,Satoo - Hotel Shangri-La,94,Jakarta,"Hotel Shangri-La, Jl. Jend. Sudirman","Hotel Shangri-La, Sudirman","Hotel Shangri-La, Sudirman, Jakarta",106.8189611,-6.203291667,"Asian, Indonesian, Western",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,873
18391256,MONKS,94,Jakarta,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading Blok ND1/51, Kelapa Gading, Jakarta",Kelapa Gading,"Kelapa Gading, Jakarta",106.9113346,-6.163947933,"Western, Asian, Cafe",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,259
18352452,Lucky Cat Coffee & Kitchen,94,Jakarta,"Plaza Festival, South Parking, Jl. HR Rasuna Said, Kuningan, Jakarta","Plaza Festival, Kuningan","Plaza Festival, Kuningan, Jakarta",106.8317481,-6.218932479,"Cafe, Western",300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,458
7421967,3 Wise Monkeys,94,Jakarta,"Jl. Suryo No. 26, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8134001,-6.235241091,Japanese,450000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,395
18370659,Flip Burger,94,Jakarta,"Jl. Senopati No. 27, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8085503,-6.23077495,Burger,120000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,410
534534,Jetski Café,94,Jakarta,"Pantai Mutiara, Jl. Raya Pantai Mutiara, Blok R No. 57, Pluit, Jakarta",Pantai Mutiara,"Pantai Mutiara, Jakarta",106.7903324,-6.103449362,"Seafood, Café",350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Good,794
18408381,Fish Streat,94,Jakarta,"Jl. Tebet Timur Dalam Raya 44B, Tebet, Jakarta",Tebet,"Tebet, Jakarta",106.8564133,-6.232815715,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,4,Green,Very Good,331
7422489,Avec Moi Restaurant and Bar,94,Jakarta,"Gedung PIC, Jl. Teluk Betung 43, Thamrin, Jakarta",Thamrin,"Thamrin, Jakarta",106.821023,-6.19627,"French, Western",350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,243
9597128,Yongdaeri Korean BBQ SCBD,94,Jakarta,Galeria SCBD Lot6 Kawasan Niaga Terpadu Sudirman,Senayan,"Senayan, Jakarta",106.8085225,-6.239445563,Korean,400000,Indonesian Rupiah(IDR),No,No,No,No,3,4.8,Dark Green,Excellent,661
5929489,Magal Mapogalmegi BBQ,94,Jakarta,"Jl. Aries Raya No. 3D, Meruya, Jakarta",Meruya,"Meruya, Jakarta",106.753357,-6.191286,Korean,300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.7,Dark Green,Excellent,1789
29295,Black Cattle,94,Jakarta,"Pasar Santa, Food Court, Lantai 1, BKS101 103, Senopati, Jakarta 12710",Senopati,"Senopati, Jakarta",106.8121542,-6.240165469,Korean,120000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,836
18425821,OJJU,94,Jakarta,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda","Gandaria City Mall, Gandaria","Gandaria City Mall, Gandaria, Jakarta",106.783162,-6.244221,Korean,200000,Indonesian Rupiah(IDR),No,No,No,No,3,3.9,Yellow,Good,137
7400818,Zenbu,94,Jakarta,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Kota Kasablanka, Tebet","Kota Kasablanka, Tebet, Jakarta",106.8425,-6.224333333,Japanese,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,841
7420899,Sushi Masa,94,Jakarta,"Jl. Tuna Raya No. 5, Penjaringan",Penjaringan,"Penjaringan, Jakarta",106.800144,-6.101298,Japanese,500000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,605
592979,Taman Santap Rumah Kayu,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lodan Timur II No. 7, Ancol, Jakarta",Ancol,"Ancol, Jakarta",106.834941,-6.122339,Sunda,350000,Indonesian Rupiah(IDR),No,No,No,No,3,3.9,Green,Good,222
195959,Pondok Laguna,94,Jakarta,"Jl. Batu Tulis Raya No. 45 - 47, Pecenongan, Jakarta",Pecenongan,"Pecenongan, Jakarta",106.825277,-6.162769,Sunda,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Good,458
7417455,Talaga Sampireun,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta","Taman Impian Jaya Ancol, Ancol","Taman Impian Jaya Ancol, Ancol, Jakarta",106.8335532,-6.12685982,Sunda,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1640
5892959,Pondok Pangandaran,94,Jakarta,"Jl. Boulevard Raya, Blok QA 1 No. 22, Kelapa Gading, Jakarta",Kelapa Gading,"Kelapa Gading, Jakarta",106.908968,-6.153052,Sunda,150000,Indonesian Rupiah(IDR),No,No,No,No,3,4.5,Green,Good,282
7422633,Talaga Sampireun,94,Jakarta,Jl. Lingkar Luar Barat,Cengkareng,"Cengkareng, Jakarta",106.7285083,-6.168466667,Sunda,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1662
265926,Lucy in the Sky,94,Jakarta,"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta",Sudirman,"Sudirman, Jakarta",106.807119,-6.226418,"Asian, Western",400000,Indonesian Rupiah(IDR),No,No,No,No,3,4,Green,Good,1111
785878,Hokkaido Izakaya,94,Jakarta,"Pavilion Retail Arcade, Lantai Dasar, Jl. K.H. Mas Mansyur Kav. 24, Sudirman, Jakarta",Sudirman,"Sudirman, Jakarta",106.817745,-6.207749,Japanese,350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.7,Dark Green,Excellent,1136
595979,Sushi Go!,94,Jakarta,"Grand Indonesia Mall, Lantai 5, FoodPrint, West Mall, Jl. MH Thamrin, Thamrin, Jakarta",Thamrin,"Thamrin, Jakarta",106.820135,-6.195058,Japanese,100000,Indonesian Rupiah(IDR),No,No,No,No,3,4.5,Green,Good,3816
423536456,Lawless Burgerbar,94,Jakarta,"Jl. Kemang Selatan VIII No. 67H-67I, Kemang, Jakarta",Kemang,"Kemang, Jakarta",106.8144066,-6.267911094,Burger,150000,Indonesian Rupiah(IDR),No,No,No,No,3,4.7,Dark Green,Excellent,1902
5634534,BYURGER,94,Jakarta,"Jl. Antasari Raya, Pasar Cipete Selatan No. 10, Fatmawati, Jakarta",,,106.807926,-6.278868,Burger,100000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Good,638
645645,MammaRosy,94,Jakarta,"Jl. Kemang Raya No. 58, Kemang, Jakarta",Kemang,"Kemang, Jakarta",106.815788,-6.263543,"Italian, Pizza, Pasta",300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Good,1434
53478,Toscana,94,Jakarta,"Jl. Kemang Raya No. 120, Kemang, Jakarta",Kemang,"Kemang, Jakarta",106.8151401,-6.271923339,"Italian, Pizza, Pasta",500000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,537
645884,Bandar Djakarta,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lodan Timur, Ancol, Jakarta 14430",Ancol,"Ancol, Jakarta",106.843428,-6.122449,Seafood,250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.5,Green,Good,3044
9653856,Wyl's Kitchen - Veranda Hotel At Pakubuwono,94,Jakarta,"Veranda Hotel At Pakubuwono, Jl. Kyai Maja No. 63, Gandaria, Jakarta 12130",Gandaria,"Gandaria, Jakarta",106.785755,-6.239946,Indonesian,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Good,956
57474,Penang Bistro,94,Jakarta,"Lantai 1-3, Jl. Kebon Sirih No. 59, Menteng, Jakarta",Menteng,"Menteng, Jakarta",106.827301,-6.183556,Peranakan,250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.5,Green,Good,470
4235235,Meradelima,94,Jakarta,"Jl. Adityawarman No. 47, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8044763,-6.239773187,Peranakan,370000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Good,222
53477,Bangi Kopi,94,Jakarta,"Jl. Raya Pasar Minggu No. 12, Pasar Minggu, Jakarta",Pasar Minggu,"Pasar Minggu, Jakarta",106.844153,-6.265138,Peranakan,100000,Indonesian Rupiah(IDR),No,No,No,No,3,3.4,Green,Good,209
432426,Layar Seafood,94,Jakarta,"Jl. Pesanggrahan Raya No. 80, Meruya, Jakarta",Meruya,"Meruya, Jakarta",106.755578,-6.19562,Seafood,200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,619
